Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-11-11 11-PM,BTCUSD,6312.56,6359.95,6311,6357.6,254.46,1610788.34
2018-11-11 10-PM,BTCUSD,6316.22,6317.33,6310,6312.56,97.05,612751.28
2018-11-11 09-PM,BTCUSD,6328.61,6328.62,6315.34,6316.22,96.2,608354.5
2018-11-11 08-PM,BTCUSD,6323.51,6329.99,6323.5,6328.61,111.24,703925.79
2018-11-11 07-PM,BTCUSD,6320,6330,6318.18,6323.51,98.73,624524.09
2018-11-11 06-PM,BTCUSD,6315,6320,6310.17,6320,149.0,941212.43
2018-11-11 05-PM,BTCUSD,6310,6320,6306.28,6315,118.26,746603.49
2018-11-11 04-PM,BTCUSD,6308.99,6322.18,6296.5,6310,108.87,686814.09
2018-11-11 03-PM,BTCUSD,6337.81,6339.39,6271.15,6308.99,353.48,2227959.43
2018-11-11 02-PM,BTCUSD,6333.68,6339.39,6332.03,6337.81,50.06,317229.6
2018-11-11 01-PM,BTCUSD,6343.25,6347.91,6329.64,6333.68,71.1,450717.58
2018-11-11 12-PM,BTCUSD,6343.42,6344.88,6342.32,6343.25,27.29,173137.31
2018-11-11 11-AM,BTCUSD,6348.17,6350,6343,6343.42,25.94,164651.61
2018-11-11 10-AM,BTCUSD,6352.65,6355,6345.13,6348.17,41.24,261850.55
2018-11-11 09-AM,BTCUSD,6358.34,6358.34,6352,6352.65,30.33,192773.46
2018-11-11 08-AM,BTCUSD,6358.88,6359.99,6357.16,6358.34,42.23,268567.43
2018-11-11 07-AM,BTCUSD,6356.28,6358.88,6355.64,6358.88,44.99,286020.09
2018-11-11 06-AM,BTCUSD,6350.04,6357.33,6350.03,6356.28,79.66,506193.67
2018-11-11 05-AM,BTCUSD,6353.32,6353.53,6347.57,6350.04,83.57,530796.83
2018-11-11 04-AM,BTCUSD,6351.65,6354.75,6349.13,6353.32,70.08,445243.59
2018-11-11 03-AM,BTCUSD,6355.44,6357.41,6347.43,6351.65,82.75,525646.35
2018-11-11 02-AM,BTCUSD,6360,6360,6354.93,6355.44,67.52,429224.18
2018-11-11 01-AM,BTCUSD,6356.97,6360,6356.47,6360,71.95,457478.39
2018-11-11 12-AM,BTCUSD,6347.42,6358.6,6347.41,6356.97,86.03,546668.63
2018-11-10 11-PM,BTCUSD,6363.95,6365,6347.41,6347.42,135.21,859166.18
2018-11-10 10-PM,BTCUSD,6361.26,6364.78,6360.43,6363.95,90.26,574255.97
2018-11-10 09-PM,BTCUSD,6365,6367.27,6360.36,6361.26,122.3,778512.07
2018-11-10 08-PM,BTCUSD,6358.39,6365,6358.39,6365,103.73,659817.03
2018-11-10 07-PM,BTCUSD,6359.01,6360.98,6355.67,6358.39,165.94,1055052.73
2018-11-10 06-PM,BTCUSD,6368.71,6368.71,6359,6359.01,103.74,660210.44
2018-11-10 05-PM,BTCUSD,6369.99,6374,6368,6368.71,99.39,633240.22
2018-11-10 04-PM,BTCUSD,6362.82,6369.99,6361,6369.99,107.97,687588.9
2018-11-10 03-PM,BTCUSD,6364.46,6365,6360.68,6362.82,105.22,669493.77
2018-11-10 02-PM,BTCUSD,6365.51,6365.51,6359.23,6364.46,123.83,787824.73
2018-11-10 01-PM,BTCUSD,6362.98,6368.57,6362.97,6365.51,101.91,648854.9
2018-11-10 12-PM,BTCUSD,6353.41,6363,6353.41,6362.98,120.03,763353.11
2018-11-10 11-AM,BTCUSD,6341.5,6353.42,6341.5,6353.41,41.54,263729.5
2018-11-10 10-AM,BTCUSD,6353.33,6353.33,6341.5,6341.5,48.15,305628.6
2018-11-10 09-AM,BTCUSD,6355.56,6355.56,6353.32,6353.33,42.46,269790.58
2018-11-10 08-AM,BTCUSD,6357.96,6359.02,6355.55,6355.56,30.05,191051.95
2018-11-10 07-AM,BTCUSD,6353.55,6359.99,6353.55,6357.96,56.85,361371.42
2018-11-10 06-AM,BTCUSD,6353.6,6359.99,6353.55,6353.55,108.71,690994.22
2018-11-10 05-AM,BTCUSD,6350,6353.6,6348.11,6353.6,95.93,609201.11
2018-11-10 04-AM,BTCUSD,6344.76,6350,6342.85,6350,177.02,1123701.99
2018-11-10 03-AM,BTCUSD,6340.29,6344.76,6340.27,6344.76,58.45,370735.89
2018-11-10 02-AM,BTCUSD,6336.01,6346.06,6336,6340.29,101.74,645412.5
2018-11-10 01-AM,BTCUSD,6336.01,6336.01,6336,6336.01,78.81,499364.87
2018-11-10 12-AM,BTCUSD,6334.89,6336.69,6327.46,6336.01,147.32,933292.32
2018-11-09 11-PM,BTCUSD,6324.01,6334.98,6324,6334.89,162.17,1026479.71
2018-11-09 10-PM,BTCUSD,6325.83,6325.83,6320.94,6324.01,220.47,1393946.59
2018-11-09 09-PM,BTCUSD,6342.07,6342.07,6309.45,6325.83,312.95,1978769.96
2018-11-09 08-PM,BTCUSD,6340,6342.07,6339.99,6342.07,132.84,842304.92
2018-11-09 07-PM,BTCUSD,6334.49,6340,6331,6340,171.5,1086312.31
2018-11-09 06-PM,BTCUSD,6347.19,6347.2,6333.01,6334.49,206.21,1308117.91
2018-11-09 05-PM,BTCUSD,6349.98,6349.99,6346.99,6347.19,140.17,889932.22
2018-11-09 04-PM,BTCUSD,6344.7,6349.99,6341.66,6349.98,138.08,876392.8
2018-11-09 03-PM,BTCUSD,6341.32,6348,6334.99,6344.7,144.96,919331.05
2018-11-09 02-PM,BTCUSD,6353.59,6354.03,6311.46,6341.32,298.4,1889215.19
2018-11-09 01-PM,BTCUSD,6361.14,6361.14,6332.45,6353.59,214.01,1358758.46
2018-11-09 12-PM,BTCUSD,6352.76,6361.2,6352.55,6361.14,85.52,543686.91
2018-11-09 11-AM,BTCUSD,6354.99,6358,6352.76,6352.76,80.98,514592.05
2018-11-09 10-AM,BTCUSD,6355.01,6357.32,6345,6354.99,166.59,1058614.73
2018-11-09 09-AM,BTCUSD,6402,6402.01,6335.62,6355.01,646.16,4110147.82
2018-11-09 08-AM,BTCUSD,6404.99,6405.35,6402,6402,61.75,395534.79
2018-11-09 07-AM,BTCUSD,6402.47,6405,6402.46,6404.99,90.1,576983.08
2018-11-09 06-AM,BTCUSD,6402.43,6402.47,6402.42,6402.47,88.98,569717.33
2018-11-09 05-AM,BTCUSD,6402.43,6404.38,6402.42,6402.43,84.56,541398.79
2018-11-09 04-AM,BTCUSD,6399.77,6405.35,6399.76,6402.43,214.51,1373554.5
2018-11-09 03-AM,BTCUSD,6393.02,6399.8,6393.01,6399.77,190.47,1218462.53
2018-11-09 02-AM,BTCUSD,6409.38,6409.99,6393.01,6393.02,222.66,1426082.31
2018-11-09 01-AM,BTCUSD,6412.35,6414.51,6406,6409.38,127.62,817887.59
2018-11-09 12-AM,BTCUSD,6406.25,6415,6406.24,6412.35,175.76,1126465.73
2018-11-08 11-PM,BTCUSD,6410.03,6410.03,6402,6406.25,276.0,1768238.34
2018-11-08 10-PM,BTCUSD,6419.01,6424.98,6410.02,6410.03,182.34,1170504.01
2018-11-08 09-PM,BTCUSD,6419.06,6428.18,6419,6419.01,198.64,1275999.15
2018-11-08 08-PM,BTCUSD,6416,6425,6415.99,6419.06,248.43,1595422.08
2018-11-08 07-PM,BTCUSD,6418.99,6418.99,6415.13,6416,161.66,1037175.42
2018-11-08 06-PM,BTCUSD,6424.16,6430.27,6416.96,6418.99,170.18,1093094.64
2018-11-08 05-PM,BTCUSD,6427.02,6427.02,6408.88,6424.16,178.08,1142939.28
2018-11-08 04-PM,BTCUSD,6462.27,6462.27,6391.99,6427.02,1007.67,6469256.38
2018-11-08 03-PM,BTCUSD,6485.94,6486.39,6462.26,6462.27,189.95,1229549.03
2018-11-08 02-PM,BTCUSD,6478.25,6490.34,6470.63,6485.94,230.73,1495748.41
2018-11-08 01-PM,BTCUSD,6472.91,6482.41,6464.3,6478.25,114.01,738196.22
2018-11-08 12-PM,BTCUSD,6454.58,6473.98,6454.57,6472.91,122.18,789728.91
2018-11-08 11-AM,BTCUSD,6460.01,6464.99,6452.5,6454.58,80.4,519349.89
2018-11-08 10-AM,BTCUSD,6451.46,6461.97,6451.45,6460.01,73.97,477459.98
2018-11-08 09-AM,BTCUSD,6451,6451.46,6450,6451.46,51.57,332635.93
2018-11-08 08-AM,BTCUSD,6455.38,6460.23,6451,6451,38.59,249197.73
2018-11-08 07-AM,BTCUSD,6450.29,6456,6450.28,6455.38,62.38,402425.01
2018-11-08 06-AM,BTCUSD,6450.01,6451.22,6450,6450.29,66.94,431824.12
2018-11-08 05-AM,BTCUSD,6455,6457,6450,6450.01,88.39,570361.57
2018-11-08 04-AM,BTCUSD,6443.72,6457.07,6441,6455,235.04,1516332.01
2018-11-08 03-AM,BTCUSD,6467.27,6467.27,6441.01,6443.72,388.93,2510368.19
2018-11-08 02-AM,BTCUSD,6492.91,6500,6454.1,6467.27,375.13,2428942.29
2018-11-08 01-AM,BTCUSD,6503.33,6506.5,6492.35,6492.91,166.55,1082474.63
2018-11-08 12-AM,BTCUSD,6503.12,6511.88,6502.3,6503.33,221.52,1441502.09
2018-11-07 11-PM,BTCUSD,6499.8,6504,6494.07,6503.12,147.68,959838.99
2018-11-07 10-PM,BTCUSD,6499.83,6501.01,6499.8,6499.8,223.95,1455699.21
2018-11-07 09-PM,BTCUSD,6506.99,6507,6499.82,6499.83,174.34,1133305.86
2018-11-07 08-PM,BTCUSD,6511.01,6511.01,6506.99,6506.99,194.99,1269345.87
